mortar_2b14_1;Found;Mortar_2B14_1_Face;Found
mlrs-m270;Found;MLRS-M270_Face;Found
mk_19;Found;MK_19_Face;Not found
mirage-5;Found;Mirage-5_Face;Found
mirage-3;Found;Mirage-3_Face;Found
mirage_f1;Found;Mirage_F1_Face;Found
mirage_2000c;Found;MIRAGE_2000C_Face;Found
military_bus;Found;Military_Bus_Face;Not found
mig-31;Found;MIG-31_Face;Found
mig-29;Found;MiG-29_Face;Found
mig-25;Found;Mig-25_Face;Found
mi-2upr;Found;Mi-2UPR_Face;Found
mi-28_havoc;Found;MI-28_Havoc_Face;Found
meerkat;Found;Meerkat_Face;Not found
medical_vehicle_mv;Found;Medical_Vehicle_MV_Face;Found
mav;Found;MAV_Face;Found
mag_gpng_7-62;Found;MAG_GPNG_7-62_Face;Not found
m901a3;Found;M901A3_Face;Found
m88a2;Found;M88A2_Face;Found
m60a3;Found;M60A3_Face;Found
m40_stand;Found;M40_STAND_Face;Found
m3_bradley;Found;M3_Bradley_Face;Found
m2-mounted;Found;M2-MOUNTED_Face;Found
m-220_tow;Found;M-220_Tow_Face;Found
m220;Found;m220_Face;Not found
m2_stand;Found;M2_STAND_Face;Found
m1a2;Found;M1A2_Face;Found
m115_how;Found;M115_HOW_Face;Not found
m1135;Found;M1135_Face;Found
m1133;Found;M1133_Face;Found
m1131;Found;M1131_Face;Found
m1130;Found;M1130_Face;Found
m113;Found;M113_Face;Found
m1128;Found;M1128_Face;Found
m1127;Found;M1127_Face;Found
m1126_m2;Found;M1126_M2_Face;Found
m1117;Found;M1117_Face;Found
m109a6;Found;M109A6_Face;Found
m1097;Found;M1097_Face;Not found
m1046;Found;M1046_Face;Found
m_1089;Found;M_1089_Face;Not found
luggage_cart-001;Found;Luggage_Cart-001_Face;Found
leopard_c2a1_mexas;Found;Leopard_C2A1_MEXAS_Face;Found
leclerc;Found;Leclerc_Face;Not found
l-159;Found;L-159_Face;Not found
kraz_255;Found;KRAZ_255_Face;Found
kpv-mounted;Found;KPV-MOUNTED_Face;Found
kpv_towed;Found;KPV_TOWED_Face;Found
koni_class;Found;Koni_Class_Face;Found
kittyhawk;Found;KittyHawk_Face;Found
ke-3a;Found;KE-3A_Face;Found
kc-135;Found;KC-135_Face;Found
kc-10a;Found;KC-10A_Face;Found
jaguar;Found;Jaguar_Face;Not found
j10;Found;J10_Face;Not found
ivmmd_t-mdt;Found;IVMMD_T-MDT_Face;Found
ivmmd_s-mdt;Found;IVMMD_S-MDT_Face;Not found
ivmmd_f-mdt;Found;IVMMD_F-MDT_Face;Found
irobot_packbot_explorer;Found;Irobot_Packbot_Explorer_Face;Found
international_maxxpro_mpv;Found;International_MaxxPro_MPV_Face;Found
il-76;Found;IL-76_Face;Found
ied;Found;IED_Face;Found
husky;Found;Husky_Face;Found
hmmwv;Found;HMMWV_Face;Not found
hawk;Found;HAWK_Face;Not found
gmc_sierra_utility;Found;GMC_Sierra_Utility_Face;Found
gcd;Found;GCD_Face;Not found
gaz-66;Found;Gaz-66_Face;Found
g6_howitzer;Found;G6_HOWITZER_Face;Found
g5_155mm;Found;G5_155mm_Face;Found
fv105;Found;FV105_Face;Found
fv103_spartan;Found;FV103_Spartan_Face;Found
fv101_scorpion;Found;FV101_SCORPION_Face;Found
frog-7b;Found;Frog-7B_Face;Found
frmv_recovery_and_maintenance_vehicle;Found;FRMV_Recovery_and_Maintenance_Vehicle_Face;Found
ford350_2_utility;Found;FORD350_2_Utility_Face;Found
ford;Found;Ford_Face;Not found
fennek;Found;fennek_Face;Found
fcs_mule;Found;FCS_MULE_Face;Not found
fa-18c;Found;FA-18C_Face;Found
f-6a;Found;F-6A_Face;Found
f-5;Found;F-5_Face;Found
f4_phantom;Found;F4_Phantom_Face;Found
f-35;Found;F-35_Face;Found
f16;Found;F16_Face;Found
f-15e;Found;F-15E_Face;Found
f-15c;Found;F-15C_Face;Found
f-14a;Found;F-14A_Face;Found
f-117;Found;F-117_Face;Found
ea-6b;Found;EA-6B_Face;Found
e3a;Found;E3A_Face;Found
e2c_hawkeye;Found;E2C_Hawkeye_Face;Not found
dshk-mounted;Found;DSHK-MOUNTED_Face;Found
dshk;Found;DSHK_Face;Found
dingo;Found;Dingo_Face;Found
ddg-1000_zumwalt;Found;DDG-1000_Zumwalt_Face;Found
dana_howitzer-77;Found;Dana_Howitzer-77_Face;Not found
cougar_h_series_4x4;Found;Cougar_H_Series_4X4_Face;Found
cougar_6x6;Found;Cougar_6X6_Face;Found
command_and_control_vehicle_c2v;Found;Command_and_Control_Vehicle_C2V_Face;Not found
class_iv_uav;Found;Class_IV_UAV_Face;Found
class_iii_uav;Found;Class_III_UAV_Face;Not found
class_ii_uav;Found;Class_II_UAV_Face;Not found
class_i_uav;Found;Class_I_UAV_Face;Found
chevy_afghan;Found;CHEVY_AFGHAN_Face;Found
cheetah;Found;Cheetah_Face;Found
challenger1;Found;Challenger1_Face;Found
ch-47d;Found;CH-47D_Face;Found
centauro;Found;Centauro_Face;Not found
caiman;Found;Caiman_Face;Found
caesar;Found;Caesar_Face;Found
c2v;Found;C2V_Face;Found
c23_sherpa;Found;C23_Sherpa_Face;Not found
c-141b_starlifter;Found;C-141B_Starlifter_Face;Found
c-130;Found;C-130_Face;Found
c-12_huron;Found;C-12_Huron_Face;Found
bv206;Found;BV206_Face;Found
bull;Found;BULL_Face;Found
buffalo;Found;Buffalo_Face;Found
btr-80;Found;BTR-80_Face;Found
btr_152;Found;BTR_152_Face;Found
brdm-2;Found;BRDM-2_Face;Found
boeing-737;Found;Boeing-737_Face;Not found
boeing_b-52d;Found;Boeing_B-52D_Face;Not found
boeing_747;Found;Boeing_747_Face;Found
bmp-2;Found;BMP-2_Face;Found
bmd-3;Found;BMD-3_Face;Found
bmd-2;Found;BMD-2_Face;Found
bgm-109;Found;BGM-109_Face;Found
bearcat;Found;Bearcat_Face;Not found
bae_hawk_200;Found;BAe_Hawk_200_Face;Not found
bae_black_knight;Found;BAE_Black_Knight_Face;Found
b-52;Found;B-52_Face;Found
b-2_spirit;Found;B-2_Spirit_Face;Found
b-10;Found;B-10_Face;Found
b-1_lancer;Found;B-1_Lancer_Face;Found
av-8b_harrier_ii;Found;AV-8B_Harrier_II_Face;Found
as_90;Found;AS_90_Face;Found
armed_robotic_vehicle_arv;Found;Armed_Robotic_Vehicle_ARV_Face;Not found
arh-70;Found;ARH-70_Face;Found
an-twq-1-avenger;Found;AN-TWQ-1-Avenger_Face;Found
an-2;Found;AN-2_Face;Found
amx-30;Found;AMX-30_Face;Found
alpha;Found;Alpha_Face;Found
airport;Found;airport_Face;Not found
ah-64d;Found;AH-64D_Face;Found
ah-64a;Found;AH-64A_Face;Found
ah-1w;Found;AH-1W_Face;Found
aavc7a;Found;AAVc7A_Face;Not found
a320;Found;A320_Face;Found
a-10;Found;A-10_Face;Found
57mm_s60;Found;57MM_S60_Face;Not found
2s9;Found;2S9_Face;Found
2s12;Found;2S12_Face;Not found
23b;Found;23B_Face;Not found
120mm_he;Found;120mm_HE_Face;Found
